Tenure Months,Monthly Charges,Total Charges,charge_per_tenure,num_additional_services,tenure_bucket,Contract,Churn Value
2,53.85,108.15,17.95,2,0-12,Month-to-month,1
2,70.7,151.65,23.566666666666666,0,0-12,Month-to-month,1
8,99.65,820.5,11.072222222222223,3,0-12,Month-to-month,1
28,104.8,3046.05,3.613793103448276,4,25-48,Month-to-month,1
49,103.7,5036.3,2.074,4,49-72,Month-to-month,1
10,55.2,528.35,5.0181818181818185,2,0-12,Month-to-month,1
1,39.65,39.65,19.825,2,0-12,Month-to-month,1
1,20.15,20.15,10.075,0,0-12,Month-to-month,1
47,99.35,4749.15,2.0697916666666667,3,25-48,Month-to-month,1
1,30.2,30.2,15.1,1,0-12,Month-to-month,1
17,64.7,1093.1,3.5944444444444446,2,13-24,Month-to-month,1
5,69.7,316.9,11.616666666666667,0,0-12,Month-to-month,1
34,106.35,3549.25,3.0385714285714283,4,25-48,Month-to-month,1
11,97.85,1105.4,8.154166666666667,3,0-12,Month-to-month,1
2,80.65,144.15,26.883333333333336,1,0-12,Month-to-month,1
15,99.1,1426.4,6.19375,4,13-24,Month-to-month,1
8,80.65,633.3,8.961111111111112,1,0-12,Month-to-month,1
18,95.45,1752.55,5.023684210526316,2,13-24,Month-to-month,1
9,94.4,857.25,9.440000000000001,2,0-12,Month-to-month,1
1,79.35,79.35,39.675,1,0-12,Month-to-month,1
7,75.15,496.9,9.39375,1,0-12,Month-to-month,1
12,78.95,927.35,6.073076923076924,1,0-12,Month-to-month,1
5,21.05,113.85,3.5083333333333333,0,0-12,Month-to-month,1
25,98.5,2514.5,3.7884615384615383,4,25-48,Month-to-month,1
68,110.0,7611.85,1.5942028985507246,5,49-72,Two year,1
55,96.75,5238.9,1.7276785714285714,3,49-72,Month-to-month,1
37,76.5,2868.15,2.013157894736842,0,25-48,Month-to-month,1
10,100.25,1064.65,9.113636363636363,3,0-12,Month-to-month,1
3,74.4,229.55,18.6,0,0-12,Month-to-month,1
27,78.05,2135.5,2.7875,1,25-48,Month-to-month,1
25,58.6,1502.65,2.253846153846154,5,25-48,Month-to-month,1
1,35.45,35.45,17.725,1,0-12,Month-to-month,1
2,44.35,81.25,14.783333333333333,0,0-12,Month-to-month,1
1,70.45,70.45,35.225,0,0-12,Month-to-month,1
8,71.15,563.65,7.905555555555556,3,0-12,Month-to-month,1
1,45.65,45.65,22.825,0,0-12,Month-to-month,1
7,95.0,655.5,11.875,2,0-12,Month-to-month,1
20,82.4,1592.35,3.923809523809524,1,13-24,Month-to-month,1
4,70.9,273.0,14.180000000000001,0,0-12,Month-to-month,1
58,45.3,2651.2,0.7677966101694915,3,49-72,Month-to-month,1
2,104.4,242.8,34.800000000000004,4,0-12,Month-to-month,1
53,94.85,5000.2,1.7564814814814813,3,49-72,One year,1
15,74.45,1145.7,4.653125,0,13-24,Month-to-month,1
7,76.45,503.6,9.55625,1,0-12,Month-to-month,1
1,29.95,29.95,14.975,1,0-12,Month-to-month,1
8,84.5,662.65,9.38888888888889,1,0-12,Month-to-month,1
13,79.25,1111.65,5.660714285714286,2,13-24,Month-to-month,1
1,24.8,24.8,12.4,0,0-12,Month-to-month,1
6,91.0,531.0,13.0,3,0-12,Month-to-month,1
1,79.9,79.9,39.95,1,0-12,Month-to-month,1
19,106.6,1934.45,5.33,5,13-24,Month-to-month,1
2,46.0,84.5,15.333333333333334,0,0-12,Month-to-month,1
4,70.15,268.35,14.030000000000001,0,0-12,Month-to-month,1
4,50.05,179.35,10.01,1,0-12,Month-to-month,1
1,55.2,55.2,27.6,1,0-12,Month-to-month,1
1,84.6,84.6,42.3,2,0-12,Month-to-month,1
2,54.4,114.1,18.133333333333333,1,0-12,Month-to-month,1
11,95.0,1120.3,7.916666666666667,3,0-12,Month-to-month,1
15,74.4,1074.3,4.65,1,13-24,Month-to-month,1
1,48.55,48.55,24.275,1,0-12,Month-to-month,1
2,70.4,147.15,23.46666666666667,0,0-12,Month-to-month,1
1,40.2,40.2,20.1,2,0-12,Month-to-month,1
2,44.6,80.55,14.866666666666667,0,0-12,Month-to-month,1
3,41.15,132.2,10.2875,2,0-12,Month-to-month,1
13,106.9,1364.3,7.635714285714286,4,13-24,Month-to-month,1
59,19.35,1099.6,0.3225,0,49-72,Two year,1
16,94.45,1511.2,5.555882352941176,3,13-24,Month-to-month,1
1,24.8,24.8,12.4,0,0-12,Month-to-month,1
1,70.6,70.6,35.3,0,0-12,Month-to-month,1
5,85.4,401.1,14.233333333333334,2,0-12,Month-to-month,1
52,105.05,5624.85,1.982075471698113,4,49-72,Month-to-month,1
18,95.15,1779.95,5.007894736842106,3,13-24,Month-to-month,1
1,70.0,70.0,35.0,0,0-12,Month-to-month,1
8,74.5,606.55,8.277777777777779,1,0-12,Month-to-month,1
10,44.85,435.4,4.077272727272727,0,0-12,Month-to-month,1
24,76.1,1712.7,3.0439999999999996,0,13-24,Month-to-month,1
1,73.6,73.6,36.8,1,0-12,Month-to-month,1
4,95.45,396.1,19.09,2,0-12,Month-to-month,1
32,74.9,2303.35,2.26969696969697,0,25-48,Month-to-month,1
5,80.6,415.55,13.433333333333332,1,0-12,Month-to-month,1
38,80.3,3058.65,2.0589743589743588,5,25-48,One year,1
24,93.15,2231.05,3.7260000000000004,3,13-24,Month-to-month,1
54,82.45,4350.1,1.4990909090909093,5,49-72,One year,1
2,70.35,139.05,23.45,0,0-12,Month-to-month,1
7,73.85,511.25,9.23125,0,0-12,Month-to-month,1
2,80.6,155.8,26.866666666666664,1,0-12,Month-to-month,1
68,75.8,5293.95,1.098550724637681,4,49-72,One year,1
43,104.6,4759.85,2.377272727272727,4,25-48,Two year,1
63,103.4,6603.0,1.615625,4,49-72,Month-to-month,1
2,90.4,168.2,30.133333333333336,2,0-12,Month-to-month,1
4,84.8,371.9,16.96,2,0-12,Month-to-month,1
21,41.9,840.1,1.9045454545454545,2,13-24,Month-to-month,1
10,80.25,846.0,7.295454545454546,1,0-12,Month-to-month,1
27,30.75,805.1,1.0982142857142858,1,25-48,Month-to-month,1
5,96.5,492.55,16.083333333333332,3,0-12,Month-to-month,1
2,85.65,181.5,28.55,1,0-12,Month-to-month,1
25,104.95,2566.5,4.036538461538462,4,25-48,Month-to-month,1
1,50.65,50.65,25.325,1,0-12,Month-to-month,1
1,90.85,90.85,45.425,2,0-12,Month-to-month,1
11,19.95,214.75,1.6624999999999999,0,0-12,Month-to-month,1
55,85.45,4874.7,1.5258928571428572,2,49-72,Month-to-month,1
34,73.95,2524.45,2.112857142857143,1,25-48,Month-to-month,1
69,99.45,7007.6,1.4207142857142858,3,49-72,Month-to-month,1
1,19.9,19.9,9.95,0,0-12,Month-to-month,1
1,19.6,19.6,9.8,0,0-12,Month-to-month,1
3,81.35,233.7,20.3375,1,0-12,Month-to-month,1
22,83.3,1845.9,3.6217391304347823,2,13-24,Month-to-month,1
1,75.3,75.3,37.65,1,0-12,Month-to-month,1
61,19.4,1182.55,0.3129032258064516,0,49-72,Month-to-month,1
12,45.4,518.9,3.4923076923076923,0,0-12,Month-to-month,1
60,105.9,6396.45,1.736065573770492,4,49-72,Month-to-month,1
1,69.55,69.55,34.775,0,0-12,Month-to-month,1
28,81.05,2227.1,2.7948275862068965,1,25-48,Month-to-month,1
4,101.15,385.9,20.23,3,0-12,Month-to-month,1
7,99.8,673.25,12.475,3,0-12,Month-to-month,1
13,55.95,734.35,3.9964285714285714,1,13-24,Month-to-month,1
